"","players","PlayerID","SportsDataID","Status","TeamID","Team","Jersey","PositionCategory","Position","FirstName","LastName","Height","Weight","BirthDate","BirthCity","BirthState","BirthCountry","HighSchool","College","Salary","headshot","Experience","SportRadarPlayerID","RotoworldPlayerID","RotoWirePlayerID","FantasyAlarmPlayerID","StatsPlayerID","SportsDirectPlayerID","XmlTeamPlayerID","InjuryStatus","InjuryBodyPart","InjuryStartDate","InjuryNotes","FanDuelPlayerID","DraftKingsPlayerID","YahooPlayerID","FanDuelName","DraftKingsName","YahooName","DepthChartPosition","DepthChartOrder","GlobalTeamID","FantasyDraftName","FantasyDraftPlayerID","UsaTodayPlayerID","UsaTodayHeadshotUrl","UsaTodayHeadshotNoBackgroundUrl","UsaTodayHeadshotUpdated","UsaTodayHeadshotNoBackgroundUpdated","NbaDotComPlayerID"
"1","Bradley Beal",20000441,NA,"Active",1,"WAS","3","G","SG","Bradley","Beal",75,207,"1993-06-28T00:00:00","St. Louis","MO","USA","NULL","Florida","33724200","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000441.png","8","ff461754-ad20-4eeb-af02-2b46cc980b24","1966",3303,"200464","606912","750970","3395","Scrambled","Scrambled","NULL","Scrambled",15595,"606912","5009","Bradley Beal","Bradley Beal","Bradley Beal","SG","0",20000001,"Bradley Beal","606912","8247537","http://cdn.usatsimg.com/api/download/?imageID=16941637","http://cdn.usatsimg.com/api/download/?imageID=16946929","2021-10-12T19:01:42","2021-10-13T14:52:58","203078"
"2","John Wall",20000442,NA,"Active",22,"HOU","1","G","PG","John","Wall",75,210,"1990-09-06T00:00:00","Raleigh","NC","USA","NULL","Kentucky","44310840","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000442.png","10","6769d1ca-0581-48b0-b487-b5c87b8f696e","1691",3097,"200506","509456","745060","2771","Scrambled","Scrambled","2021-10-16T00:00:00","Scrambled",12332,"509456","4716","John Wall","John Wall","John Wall","NULL","NULL",20000022,"John Wall","509456","8247185","http://cdn.usatsimg.com/api/download/?imageID=16907546","http://cdn.usatsimg.com/api/download/?imageID=16907544","2021-10-07T14:51:18","2021-10-07T14:51:14","202322"
"3","Otto Porter Jr.",20000443,NA,"Active",26,"GS","32","F","SF","Otto","Porter Jr.",80,198,"1993-06-03T00:00:00","St. Louis","MO","USA","NULL","Georgetown","1669178","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000443.png","8","792fdc1e-e833-4777-a372-11e93e457480","2124",3435,"200185","609256","750183","3614","Scrambled","Scrambled","2022-01-10T00:00:00","Scrambled",15628,"609256","5154","Otto Porter","Otto Porter Jr.","Otto Porter Jr.","PF","1",20000026,"Otto Porter Jr.","609256","8277110","http://cdn.usatsimg.com/api/download/?imageID=17138655","http://cdn.usatsimg.com/api/download/?imageID=17138654","2021-11-11T12:30:17","2021-11-11T12:30:13","203490"
"4","Garrett Temple",20000452,NA,"Active",23,"NO","41","G","SG","Garrett","Temple",77,195,"1986-05-08T00:00:00","Baton Rouge","LA","USA","NULL","LSU","4910000","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000452.png","11","ee2644c1-1260-4bf4-9c70-7c5b0cee4770","1671",3083,"200453","263903","724387","3009","Scrambled","Scrambled","NULL","Scrambled",11074,"263903","4682","Garrett Temple","Garrett Temple","Garrett Temple","SG","1",20000023,"Garrett Temple","263903","8277056","http://cdn.usatsimg.com/api/download/?imageID=16932725","http://cdn.usatsimg.com/api/download/?imageID=16937511","2021-10-10T22:47:27","2021-10-11T22:09:44","202066"
"5","Terrence Ross",20000453,NA,"Active",5,"ORL","31","G","SG","Terrence","Ross",78,206,"1991-02-05T00:00:00","Portland","OR","USA","NULL","Washington","12500000","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000453.png","8","b7d0fa52-b5ca-4465-9bbb-3ec9b6b7b536","1956",3313,"200441","550049","749134","3354","Scrambled","Scrambled","NULL","Scrambled",16405,"550049","5014","Terrence Ross","Terrence Ross","Terrence Ross","SF","1",20000005,"Terrence Ross","550049","8247709","http://cdn.usatsimg.com/api/download/?imageID=16932820","http://cdn.usatsimg.com/api/download/?imageID=16932821","2021-10-10T23:09:58","2021-10-10T23:10:04","203082"
"6","Jonas Valanciunas",20000455,NA,"Active",23,"NO","17","C","C","Jonas","Valanciunas",83,265,"1992-05-06T00:00:00","Utena","NULL","Lithuania","NULL","None","1.4e+07","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000455.png","9","c8788ad2-89f7-4ec9-a22b-dcaf6190889b","1832",3190,"200109","599780","749270","3093","Scrambled","Scrambled","NULL","Scrambled",14503,"599780","4886","Jonas Valanciunas","Jonas Valanciunas","Jonas Valanciunas","C","0",20000023,"Jonas Valanciunas","599780","8277057","http://cdn.usatsimg.com/api/download/?imageID=16932539","http://cdn.usatsimg.com/api/download/?imageID=16937517","2021-10-10T22:17:23","2021-10-11T22:10:45","202685"
"7","DeMar DeRozan",20000456,NA,"Active",11,"CHI","11","G","SG","DeMar","DeRozan",78,220,"1989-08-07T00:00:00","Compton","CA","USA","NULL","USC","2.6e+07","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000456.png","12","5e86a9c3-b4d0-4fe1-a551-acd83e5d60eb","1610",3019,"200407","457594","740142","2064","Scrambled","Scrambled","NULL","Scrambled",9714,"457594","4614","DeMar DeRozan","DeMar DeRozan","DeMar DeRozan","PF","0",20000011,"DeMar DeRozan","457594","8277186","http://cdn.usatsimg.com/api/download/?imageID=16905414","http://cdn.usatsimg.com/api/download/?imageID=16915928","2021-10-07T08:28:20","2021-10-08T21:09:40","201942"
"8","Kyle Lowry",20000457,NA,"Active",4,"MIA","7","G","PG","Kyle","Lowry",72,196,"1986-03-25T00:00:00","Philadelphia","PA","USA","NULL","Villanova","26894128","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000457.png","15","8c090758-6baa-468d-82fd-d47e17d5091b","1269",2720,"200521","266394","723046","1711","Scrambled","Scrambled","NULL","Scrambled",9535,"266394","4152","Kyle Lowry","Kyle Lowry","Kyle Lowry","PG","0",20000004,"Kyle Lowry","266394","8277112","http://cdn.usatsimg.com/api/download/?imageID=16932059","http://cdn.usatsimg.com/api/download/?imageID=16937304","2021-10-10T21:02:36","2021-10-11T21:56:04","200768"
"9","Lou Williams",20000459,NA,"Active",3,"ATL","6","G","SG","Lou","Williams",74,175,"1986-10-27T00:00:00","Memphis","TN","USA","South Gwinnett (GA)","None","5e+06","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000459.png","15","2629c593-5f7c-4d34-aec7-6b949572af2a","1124",2633,"200373","292401","725665","0","Scrambled","Scrambled","NULL","Scrambled",9662,"292401","3971","Lou Williams","Lou Williams","Lou Williams","PG","1",20000003,"Lou Williams","292401","8259327","http://cdn.usatsimg.com/api/download/?imageID=16897425","http://cdn.usatsimg.com/api/download/?imageID=16916111","2021-10-05T20:20:42","2021-10-08T21:43:12","101150"
"10","James Johnson",20000464,NA,"Active",8,"BKN","16","F","PF","James","Johnson",79,240,"1987-02-20T00:00:00","Cheyenne","WY","USA","NULL","Wake Forest","1669178","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000464.png","12","1f0687ca-c8f2-4c71-8306-8a18cbf6cc60","1621",3021,"200148","398037","736252","2088","Scrambled","Scrambled","NULL","Scrambled",9966,"398037","4621","James Johnson","James Johnson","James Johnson","PF","1",20000008,"James Johnson","398037","8277212","http://cdn.usatsimg.com/api/download/?imageID=16903192","http://cdn.usatsimg.com/api/download/?imageID=16916434","2021-10-06T21:25:19","2021-10-08T22:12:24","201949"
